Date,USD,EUR
1.1.1981,"6,24",
5.1.1981,"6,24",
6.1.1981,"6,24",
7.1.1981,"6,24",
8.1.1981,"6,24",
9.1.1981,"6,24",
12.1.1981,"6,24",
13.1.1981,"6,24",
14.1.1981,"6,24",
15.1.1981,"6,24",
16.1.1981,"6,24",
19.1.1981,"6,24",
20.1.1981,"6,24",
21.1.1981,"6,24",
22.1.1981,"6,24",
23.1.1981,"6,24",
26.1.1981,"6,24",
27.1.1981,"6,24",
28.1.1981,"6,24",
29.1.1981,"6,24",
30.1.1981,"6,24",
2.2.1981,"6,24",
3.2.1981,"6,24",
4.2.1981,"6,24",
5.2.1981,"6,24",
6.2.1981,"6,24",
9.2.1981,"6,24",
10.2.1981,"6,47",
11.2.1981,"6,48",
12.2.1981,"6,52",
13.2.1981,"6,56",
16.2.1981,"6,65",
17.2.1981,"6,58",
18.2.1981,"6,54",
19.2.1981,"6,54",
20.2.1981,"6,45",
23.2.1981,"6,49",
24.2.1981,"6,51",
25.2.1981,"6,52",
26.2.1981,"6,55",
27.2.1981,"6,57",
2.3.1981,"6,62",
3.3.1981,"6,63",
4.3.1981,"6,56",
5.3.1981,"6,58",
6.3.1981,"6,61",
9.3.1981,"6,59",
10.3.1981,"6,55",
11.3.1981,"6,54",
12.3.1981,"6,55",
13.3.1981,"6,55",
16.3.1981,"6,53",
17.3.1981,"6,49",
18.3.1981,"6,46",
19.3.1981,"6,44",
20.3.1981,"6,47",
23.3.1981,"6,51",
24.3.1981,"6,51",
25.3.1981,"6,50",
26.3.1981,"6,51",
27.3.1981,"6,56",
30.3.1981,"6,55",
31.3.1981,"6,53",
1.4.1981,"6,52",
2.4.1981,"6,53",
3.4.1981,"6,58",
6.4.1981,"6,62",
7.4.1981,"6,62",
8.4.1981,"6,58",
9.4.1981,"6,60",
10.4.1981,"6,61",
13.4.1981,"6,67",
14.4.1981,"6,65",
15.4.1981,"6,66",
21.4.1981,"6,68",
22.4.1981,"6,66",
24.4.1981,"6,67",
27.4.1981,"6,66",
28.4.1981,"6,68",
29.4.1981,"6,71",
30.4.1981,"6,72",
4.5.1981,"6,77",
5.5.1981,"6,81",
6.5.1981,"6,79",
7.5.1981,"6,80",
8.5.1981,"6,78",
11.5.1981,"6,81",
12.5.1981,"6,84",
13.5.1981,"6,84",
14.5.1981,"6,88",
15.5.1981,"6,86",
18.5.1981,"6,84",
19.5.1981,"6,84",
20.5.1981,"6,84",
21.5.1981,"6,86",
22.5.1981,"6,88",
25.5.1981,"6,87",
26.5.1981,"6,90",
27.5.1981,"6,92",
29.5.1981,"7,16",
1.6.1981,"7,17",
2.6.1981,"7,23",
3.6.1981,"7,25",
4.6.1981,"7,33",
